Date,USD_Price,USD_Open,USD_High,USD_Low,USD_Vol.,USD_Change %
08/25/22,23.290001,25,23.139999,24.959999,24.894491,137300
08/24/22,23.040001,23.4,22.65,23.26,23.198954,114500
08/23/22,22.950001,23.799999,22.950001,23.18,23.119164,70500
08/22/22,23.870001,24.030001,22.780001,22.940001,22.879795,102200
08/19/22,25.780001,25.870001,24.6,24.809999,24.744884,128000
08/18/22,25.459999,26.77,25.290001,26.49,26.420477,191700
08/17/22,26,26,24.73,25.360001,25.293444,211000
08/16/22,27.02,27.23,26.040001,26.700001,26.629927,131600
08/15/22,26.74,27.389999,26.42,27.27,27.198429,144600
08/12/22,25.75,27,25.73,26.98,26.909191,171600
08/11/22,26,26.99,25.34,25.4,25.333338,112700
08/10/22,24.85,25.65,24.16,25.610001,25.542788,161300
08/09/22,24.58,24.58,22.99,23.6,23.538061,225000
08/08/22,25.76,26.469999,24.860001,25.68,25.612602,134900
08/05/22,26.530001,27.440001,26.200001,26.98,26.909191,155100
08/04/22,26.780001,27.58,26.559999,27.5,27.427826,163500
08/03/22,25.450001,26.969999,25.43,26.83,26.759584,165200
08/02/22,25.120001,26.559999,24.950001,25.719999,25.652496,189000
08/01/22,25.129999,26.299999,24.91,25.73,25.662472,264300
07/29/22,24.280001,25.52,24.1,25.379999,25.313389,161400
07/28/22,24.76,25.209999,23.6,25.08,25.014177,214400
07/27/22,23.23,24.959999,23.1,24.620001,24.555386,294500
07/26/22,22.969999,22.99,22.219999,22.290001,22.231501,71200
07/25/22,23.030001,23.1,22.280001,23.08,23.019426,115300
07/22/22,24.549999,24.549999,23.030001,23.41,23.34856,125200
07/21/22,24.370001,24.76,23.5,24.73,24.665096,224900
07/20/22,22.719999,24.280001,22.469999,24.120001,24.056698,383000
07/19/22,21.559999,23.030001,21.51,22.83,22.770082,244100
07/18/22,21.639999,22.190001,20.700001,20.93,20.875069,191200
07/15/22,20.51,20.93,20,20.92,20.865095,146100
07/14/22,19.1,20.15,18.52,19.98,19.927563,233900
07/13/22,18.18,19.58,18.1,19.25,19.199478,274700
07/12/22,19.379999,19.540001,18.780001,19,18.950134,78600
07/11/22,19.559999,19.6,18.860001,19.030001,18.980057,152500
07/08/22,19.42,20.42,19.27,20.200001,20.146986,230600
07/07/22,19.24,20.190001,19.209999,20.040001,19.987406,227500
07/06/22,18.219999,18.799999,17.84,18.42,18.371656,958600
07/05/22,16.91,18.110001,16.68,18.110001,18.062471,609400
07/01/22,18.360001,18.6,17.27,17.65,17.603678,632600
06/30/22,18.969999,19.75,18.370001,18.98,18.930187,161700
06/29/22,19.84,19.870001,18.92,19.43,19.379005,208500
06/28/22,21.780001,22.24,20.34,20.35,20.296591,129300
06/27/22,22.040001,22.15,21.18,21.540001,21.483469,105800
06/24/22,20.58,21.67,20.51,21.620001,21.563259,184200
06/23/22,20.5,20.530001,19.299999,19.92,19.86772,144800
06/22/22,19.98,20.809999,19.9,20.17,20.117064,132800
06/21/22,20.370001,21.280001,20.370001,20.639999,20.585829,180500
06/17/22,19.43,19.75,18.610001,19.5,19.448822,127500
06/16/22,20.52,20.52,18.75,19.16,19.109715,399000
06/15/22,21.530001,22.57,20.780001,21.85,21.792654,205400
06/14/22,21.049999,21.35,20.469999,20.959999,20.904989,153200
06/13/22,21.780001,22.23,20.57,20.75,20.695541,368700
06/10/22,24.559999,24.950001,23.34,23.450001,23.388456,205200
06/09/22,26.440001,27.4,25.43,25.440001,25.373234,152200
06/08/22,27.84,28.15,26.6,26.870001,26.79948,166000
06/07/22,27.01,28.32,26.549999,28.200001,28.12599,135000
06/06/22,28.799999,29,27.34,27.68,27.607353,109900
06/03/22,28.370001,28.76,27.41,27.76,27.687143,189900
06/02/22,27.35,29.65,27.209999,29.629999,29.552235,202600
06/01/22,28.629999,29.02,26.77,27.43,27.358009,157700
05/31/22,28.559999,28.950001,27.440001,28.299999,28.225725,197000
05/27/22,27.030001,28.709999,27.030001,28.6,28.524939,228900
05/26/22,23.690001,26.68,23.49,26.360001,26.290819,346400
05/25/22,22.9,24.76,22.9,24.370001,24.306042,146600
05/24/22,23.75,23.85,22.58,23.219999,23.159058,151800
05/23/22,23.83,24.549999,23.43,24.49,24.425726,163800
05/20/22,25.4,25.4,22.030001,24.290001,24.226252,312000
05/19/22,24.690001,25.969999,24.200001,24.709999,24.645147,259900
05/18/22,26.9,27.76,24.719999,24.940001,24.874546,192900
05/17/22,26.780001,28.02,26.540001,27.9,27.826777,266100
05/16/22,25.68,26.27,25.18,25.32,25.253548,188800
05/13/22,24.540001,26.540001,24.25,26.17,26.101316,383800
05/12/22,23.01,24.200001,22.299999,23.58,23.518114,485200
05/11/22,24.809999,25.959999,23.5,23.59,23.528088,227600
05/10/22,25.610001,26.26,24.280001,25.35,25.283468,359700
05/09/22,26.02,26.5,23.870001,24.190001,24.126514,545200
05/06/22,27.129999,28.52,26.139999,27.17,27.098692,207400
05/05/22,29.639999,29.700001,26.76,27.639999,27.567457,266100
05/04/22,28.98,30.82,27.129999,30.719999,30.639374,287800
