Date,BRENT_OIL_Price,BRENT_OIL_Open,BRENT_OIL_High,BRENT_OIL_Low,BRENT_OIL_Vol.,BRENT_OIL_Change %
05/23/23,76.84,76.15,77.74,75.65,287.23K,1.12%
05/22/23,75.99,75.63,76.46,74.55,241.96K,0.54%
05/19/23,75.58,76.03,77.5,75.12,240.53K,-0.37%
05/18/23,75.86,76.78,76.99,75.5,232.00K,-1.43%
05/17/23,76.96,74.67,77.31,74.1,297.06K,2.74%
05/16/23,74.91,75.55,75.95,74.5,216.20K,-0.43%
05/15/23,75.23,74.15,75.75,73.49,240.52K,1.43%
05/12/23,74.17,75.35,75.85,74.03,259.22K,-1.08%
05/11/23,74.98,76.62,77.41,74.61,345.16K,-1.87%
05/10/23,76.41,77.36,77.6,75.68,311.37K,-1.33%
05/09/23,77.44,76.71,77.5,75.07,283.41K,0.56%
05/08/23,77.01,75.23,77.43,74.95,185.75K,2.27%
05/05/23,75.3,72.69,75.75,72.41,265.07K,3.86%
05/04/23,72.5,71.28,73.72,71.28,362.23K,0.24%
05/03/23,72.33,75.31,75.58,71.7,469.62K,-3.97%
05/02/23,75.32,79.28,79.78,75.07,383.59K,-5.03%
05/01/23,79.31,80.11,80.24,78.13,146.56K,-0.29%
04/28/23,79.54,78.25,79.61,77.69,13.30K,1.49%
04/27/23,78.37,77.77,78.61,77.39,104.39K,0.88%
04/26/23,77.69,80.92,81.47,77.46,172.82K,-3.81%
04/25/23,80.77,82.59,83.06,80.35,209.28K,-2.37%
04/24/23,82.73,81.87,82.99,80.48,197.90K,1.31%
04/21/23,81.66,80.79,82.05,80.45,196.85K,0.69%
04/20/23,81.1,82.75,82.92,80.77,302.90K,-2.43%
04/19/23,83.12,84.9,85.15,82.39,333.22K,-1.95%
04/18/23,84.77,84.74,85.41,83.81,315.70K,0.01%
04/17/23,84.76,86.43,86.52,84.34,261.81K,-1.80%
04/14/23,86.31,86.18,86.87,85.53,262.58K,0.26%
04/13/23,86.09,87.19,87.47,86.05,291.94K,-1.42%
04/12/23,87.33,85.59,87.49,85.39,347.80K,2.01%
04/11/23,85.61,84.24,85.67,83.75,262.67K,1.70%
04/10/23,84.18,85.1,85.66,84.09,140.53K,-1.10%
04/06/23,85.12,84.89,85.45,84.05,259.62K,0.15%
04/05/23,84.99,85.22,85.54,84.01,246.48K,0.06%
04/04/23,84.94,84.89,86.04,83.82,308.53K,0.01%
04/03/23,84.93,86,86.44,83.5,478.31K,6.47%
03/31/23,79.77,79.19,79.8,78.54,6.85K,0.63%
03/30/23,79.27,78.23,79.55,77.86,62.92K,1.26%
03/29/23,78.28,78.97,79.68,77.94,79.54K,-0.47%
03/28/23,78.65,78.23,79.2,77.54,145.68K,0.68%
03/27/23,78.12,75,78.42,74.8,146.95K,4.17%
03/24/23,74.99,75.53,76.32,72.68,156.31K,-1.21%
03/23/23,75.91,75.87,77.44,75.12,199.64K,-0.62%
03/22/23,76.38,74.9,76.79,74.26,244.69K,1.80%
03/21/23,75.03,73.44,75.12,72.62,297.90K,2.03%
03/20/23,73.54,72.97,73.65,70.06,348.71K,1.06%
03/17/23,72.77,74.3,75.59,71.38,477.37K,-2.05%
03/16/23,74.29,73.85,75.12,71.49,306.20K,1.38%
03/15/23,73.28,77.3,78.26,71.3,576.46K,-5.38%
03/14/23,77.45,80.54,80.92,76.89,357.86K,-4.11%
03/13/23,80.77,82.6,83.48,78.34,467.28K,-2.43%
03/10/23,82.78,81.47,83.11,80.73,369.28K,1.46%
03/09/23,81.59,82.55,84,81.42,282.56K,-1.29%
03/08/23,82.66,83.03,83.59,82.06,297.09K,-0.76%
03/07/23,83.29,86.23,86.75,82.83,295.19K,-3.35%
03/06/23,86.18,85.83,86.35,84.34,244.34K,0.41%
03/03/23,85.83,84.61,86,82.36,312.90K,1.27%
03/02/23,84.75,84.31,85.1,83.83,214.22K,0.52%
03/01/23,84.31,83.05,84.49,82.61,242.66K,0.50%
02/28/23,83.89,82.3,84.15,82.19,12.30K,1.75%
02/27/23,82.45,83.19,83.6,81.73,58.85K,-0.45%
02/24/23,82.82,82.33,83.09,80.75,289.76K,1.06%
02/23/23,81.95,80.31,82.46,80.25,293.33K,1.86%
02/22/23,80.45,82.5,82.96,80.3,297.26K,-3.13%
02/21/23,83.05,83.86,84.2,82.56,231.63K,-1.21%
02/20/23,84.07,83.15,84.3,82.73,143.85K,1.29%
02/17/23,83,84.6,84.87,81.8,303.66K,-2.51%
